time,text
2,leute was geht da ab herzlich willkommen
4,mit seinem neuen video
6,heute sind wir leicht mit dem namen und
9,wir spielen ein bisschen so und dann
11,heute haben kommt ein neues video also
14,wie es sie bis zum also wir sind bleibt
17,bis zum shop und ja dass man online
51,abonnenten sieht zu weiß so ich habe 22
70,inka schube außen gehen und kassen
74,welche damals habe ich geschenkt
82,bekommen
87,diese schule war
105,[Musik]
124,nein du hast du schon abonniert
127,[Musik]
128,natürlich ja wir gucken uns das geld zur
134,rettung
148,damit kann ich nur hoffen habe ich habe
151,150 schießen
157,ich muss gott oder was muss muss der
173,türkei hat rein
175,[Musik]
176,aber es gibt noch eine menge wie bist du
179,dein gekommen doppelpass auf konsum
189,wie gabi
192,dabei kann nicht bauen
205,ja ich mag ja auch von boetticher will
208,er hat verwendet
252,das nicht so gerne ich habe so
259,eingestellt dass wenn du abonniert so
261,bruder dass es so zum beispiel noch hat
268,da so habe ich das eigentlich gemacht
272,aber das geht nicht
281,[Musik]
317,in alter okay
335,warum geht das
349,es spielt der mit gleich drei dank ich
386,habe das nicht
422,ich schreibe ja ich werde gerade konnten
431,ja ich bin hier weil sie von gott
434,gewaltiger er sagt ich bin gut ich
437,konnte ich komme zu spät
439,ach so du bist da hin
455,mit sehr viel zeit braucht dann aber ich
462,bin da ward kürzlich comdirect die
465,setzen
474,eishockey
479,wechselt jetzt eigentlich gehen schon
488,ganz gut ins bett geht und nils bomben
498,rat doch typisch hier an und verwandelt
501,sie glücklich und die motten da stark
504,als spieler weiß was diese tun sieht dem
518,auswärtsspiel mit mir hat jemand was wir
530,sagen ja ich halte ein weblog
533,ich glaube nicht
535,[Musik]
545,und wie kommen wir auch diesen gegner
570,ja ich habe sogar nützlich direkte kann
587,ich dir ja diesen lieber gegner den
616,meisten ressorts lassen
644,sie sind bei mir
655,anderes
660,ja das sind zwei oder arbeite war
663,mannschaft egal ich war ich habs jetzt
665,stift und schreibt für die em
695,ich hab doch nicht stimmen da kam nix
697,pizza placebase schreibt youtube einmal
704,habe heute meine socken fordert der da
744,kommt so ein kult rapper das steht
747,gleich so ja also den stars am brinks
753,kursschub
754,ich war nur zum bereich sind nicht sie
765,sagt ja mein vz bmw
774,ja aber ich verstehe ja ich habe 17
800,monat wir diesmal einen live-stream
844,direkt ich habe keine worte ich hab gar
846,nicht so einfach ich habe keine
865,er sagt er hat dann lesen und diese
870,überall was ich habe auch vorher nimmst
875,du schaffst dann meine ich meine punkte
914,kummer dazu viel munition
924,einfach so
927,das zweite gefühl ich habe den minis
941,denkt sommer kommt trinkt
963,ich muss ich muss hier vom 25 eric ist
976,doch
997,also ich kenn ich nicht besorgt es ist
1014,auch schön und jenson button und webber
1034,je hatte da sind wo wir das noch wann
1042,kommst du die burg haben
1050,[Musik]
1057,ja ich bin da
1061,geben
1067,das macht mich alleine
1119,sie hat das als erstes ich habe die
1122,karte das heißt es
1142,macht ja auch die man macht sich nicht
1162,nur ein produkt
1163,ich habe er will bleiben
1172,[Musik]
1195,nicht funktionieren
1204,ich bin ja schon immer gemacht hat
1237,bei diesem ist ein harter aber ich habe
1260,ja kommt kann man sich ja nicht gelogen
1269,nun ist halt starke yen hat mein name
1276,ist trotzdem geboten
1277,ich habe wer will ihr antrag kann jetzt
1284,in zwei pools diese helfer wurden dürfen
1286,zwar auch dass du willst doch bald
1295,nachkommen
1295,ja ich heute eine arbeit
1300,[Musik]
1303,platz wieder
1314,wir müssen arbeiten da waren die ganzen
1346,[Musik]
1350,oder ich hatte gott zu kuschen der ihk
1355,da in diesem gebäude oben letzte tage
1358,genau wissen
1364,ich habe 32 einbußen
1376,ok ich hab' mitgenommen ich hab zwar mit
1385,ich glaube man hat
1392,aber das bandagen basierter hinten aber
1396,du hast doch weniger hp jemals wirklich
1400,für den wir haben hier ja ich hab
1402,vergessen wie schaffe ich nicht
1405,hallo ja klar
1419,manchmal ja aber doch nicht oben
1429,der war schon 15 gekommen tatsächlich
1435,haben
1439,[Musik]
1462,wir gehen hier weil ich in meinem job
1464,verändert aber das gleiche star kommt
1473,darin dass ein sofa und gehen auf dem
1488,gebäude
1489,weil ich habe auch ein snap weiß was ich
1494,mache meine familie und ich mach mein
1497,ding ist
1510,versteht nicht so gut
1512,nein nein lass es auf dem high court
1514,gehen weil sie haben beide ein sniper
1516,ich schon gut ja passieren lassen
1538,lasst uns auf dem gebäude gehen
1541,[Musik]
1558,last von schnee
1574,er habe gedacht ich brauche jetzt haben
1581,allerdings gewechselt weil das jeder
1586,bekommt eine provision
1592,[Gelächter]
1603,warst du konsumenten scheint
1611,es liegen ja bis zum berg oder werden
1624,da und erneut ungewohnte und max stadler
1630,bin ich direkt los
1637,vor weihnachten siebziger
1641,durch unseren sohn sprechen
1648,naturschutz
1653,hab ich das mit meiner das war mir das
1667,paradies gibt's noch einen
1672,der gute grafik heute mit einer schaffen
1680,da ist mitglied einer einer sollte man
1687,da war gar nicht zu haben
1690,dabei irgendwo schwanger ja ich will
1693,meine jungs auch doch einfach so weg
1710,die erhaltung das alles geworden
1715,ich wurde gepackt ich habe alles freunde
1720,oder ich hab alles gut
1724,nein da ist jetzt alles
1730,wir sind wir hier
1733,ich wollte meinen abgeschoben warum ich
1746,doch das leben von amy 43 traum gewesen
1752,ich habe jemanden sieben bewerber werden
1766,weiß nicht wer sich daheim zinsen sie
1772,sehen bekommt naja wie china wie bush er
1778,hat nicht getroffen oder nicht getroffen
1782,haben
1794,münchen wo sie zu finden
1807,eine slackline genug einheimische noch
1811,einer kommt eines mundschutzes noch so
1818,schnell sich song kommt nach zwei
1822,minuten halte ich nichts ich habe mich
1828,das
1838,kommt es bei uns das sorgen der lobby
1876,namen
1911,was sollen wir machen
1916,kommt das problem und muss schalke
1927,warten große lz ok nba sind ja hast du
1942,unterstützen will aber jetzt nichts
1951,links nicht denn hier steht einer desto
1958,youtube und dann locken
1974,nein ich habe durst shop.de auf youtube
1984,schick mir einfach ein video verlieren
1986,kannst kann ich schon wieder ein
1991,handschlag noch nicht party royal noch
1993,ein batteriewerk party ins kurz geht
1996,karte
2004,da war ich bin direkt das dritte mit
2009,tochter in münchen
2044,da vorn etat ja ich habe einen eva
2049,cassidy erste ja ich hoffe dass sein das
2057,profil ist ein marshmallows gepostet ich
2069,habe geschrieben
2076,nein bloß nicht
2081,ja ja das eine aber sagt den party hier
2125,doch
2128,so macht die lass uns gott das problem
2135,weiter sorgen
2159,gute vertrag und keine daten kein
2162,aktivist weiß nicht wo hast du gesagt ja
2179,ein like einmal abonnieren keine ahnung
2186,ich habe so eingestellt dass wir so gut
2187,ist dass dein name auf dem bildschirm so
2190,sagt das erwarte ich glaube sie auf
2228,diesen link
2253,die übertragungsqualität gut
2267,das besser so
2277,ich kann sogar der name leben hat das
2285,extra gemacht
2287,der gegner hat dazu wieder wieder zu für
2290,die er zu versuchen
2330,ja ich war im trinkwasser
2338,wir haben gestern noch gleich der
2354,französische kunden daher auch das video
2361,truppenstärke trinken ja worüber ich
2388,musste doch trinken erst mal und so was
2390,so beschaffen dass kein schützen
2401,zugleich kreativ zocken gerne musik ich
2418,habe die schule nicht das bild nicht
2429,entfliehen
2444,ich kann eigentlich machen ich habe auf
2447,instagram 1000 aber ort eingeben
2452,ich hab angemeldet aber ich bin hier
2456,dass wir diese auf den sind glück kommt
2459,das erste mal landeten damit tun sind
2461,schon tot
2463,[Musik]
2465,man isst kannst du dir das ist
2472,eigentlich nicht zu kurz ab 20 uhr dann
2477,ist eine bande an design im kongo
2480,hallo ich habe gesagt das macht sie das
2483,auch die mutter lebte als von uns hatte
2508,ich bin kreativ oder meister stefan ist
2543,ja an eine box wie man was
2550,[Musik]
2565,seit kurzem wollte es laut marco nano
2648,nicht gut kamen die schützen
2659,ich habe die geschichte wo ich bin ich
2666,noch lange du musst warten einer stand
2673,war missbrauch neustadt nicht hat doch
2689,gesagt dann ist von einer staaten backe
2694,ich muss gleich weg ging kurz zu machen
2715,mach doch bruder bekommt gleich gelangen
2719,ich habe keine zeit
2736,solange dieser moment die sonne
2758,heute kurz
2766,bisher kommt ich bin nicht ich bitte
2814,kommt trotz der machtworte einen
2820,standort ist ja jetzt schon da
